Country,Number of Billionaires,Total Net Worth Per Country (Billion),Total Net Worth Average
Algeria,1,4.8,2.9
Argentina,5,15.30,10.15
Australia,44,181.50,112.75
Austria,12,62.7,37.35
Belgium,3,12.6,7.8
Brazil,65,211.7,138.35
Canada,64,231.1,147.55
Chile,9,42.7,25.85
China,626,2531.9,1578.95
Colombia,5,26.2,15.6
Cyprus,5,18.1,11.55
Czechia,9,41.4,25.2
Denmark,10,61.3,35.65
Egypt,6,18.4,12.2
Eswatini,1,4.7,2.85
Finland,7,16.5,11.75
France,42,512.2,277.1
Georgia,2,8,5
Germany,136,625.5,380.75
Greece,4,13.9,8.95
Guernsey,1,2.6,1.8
Hong Kong,72,448.2,260.1
Hungary,2,2.7,2.35
Iceland,2,3.2,2.6
India,140,599.6,369.8
Indonesia,21,85,53
Ireland,9,42.9,25.95
Israel,25,73,49
Italy,51,204.5,127.75
Japan,49,225.4,137.2
Kazakhstan,5,16.9,10.95
Lebanon,6,10.8,8.4
Lichtenstein,1,5.5,3.25
Macao,1,3.1,2.05
Malaysia,17,68,42.5
Mexico,13,136.1,74.55
Monaco,3,4.8,3.9
Morocco,2,3.2,2.6
Nepal,1,1.4,1.2
Netherlands,12,43.8,27.9
New Zealand,2,11.1,6.55
Nigeria,3,22.5,12.75
Norway,12,38.3,25.15
Oman,1,2.3,1.65
Peru,6,11.4,8.7
Philipines,17,17,17
Poland,8,20.3,14.15
Portugal,2,7.2,4.6
Qatar,2,2.9,2.45
Romania,2,7.7,4.85
Russia,118,586,352
Singapore,27,156.9,91.95
Slovakia,2,2.9,2.45
South Africa,5,22.1,13.55
South Korea,43,121.4,82.2
Spain,30,137,83.5
St. Kitts and Nevis,1,1.6,1.3
Sweden,31,182,106.5
Switzerland,40,145.5,92.75
Taiwan,47,115.6,81.3
Tanzania,1,1.6,1.3
Thailand,31,105.4,68.2
Turkey,27,55.2,41.1
Ukraine,7,18.9,12.95
United Arab Emirates,4,11,7.5
United Kingdom,56,213.9,134.95
United States,724,4398.4,2561.2
Venezuela,1,3.2,2.1
Vietnam,7,16.7,11.85
Zimbabwe,1,1.5,1.25
